Mode    Mapping                                                           Kbytes    PSS  Dirty
0       r-xp /usr/lib/libgmodule-2.0.so.0.6200.6                              12      0      0
0       r--p /usr/lib/libgobject-2.0.so.0.6200.6                              12     12     12
0       r-xp /lib/libdl-2.31.so                                               12      0      0
0       r--p /lib/libc-2.31.so                                                12     12     12
0       rw-p /lib/libc-2.31.so                                                12     12     12
0       r--p /app/lib/libcvi-lib-log.so                                       12     12     12
0       r--p /app/lib/libengineeringProxy.so.0.0.1                            12     12     12
0       r--p /app/lib/liblocation.so.1.0.0                                    12     12     12
0       rw-p /usr/lib/libsqlite3.so.0.8.6                                     12     12     12
0       r--p /app/lib/libmedia-player.so.1.0.0                                12     12     12
0       r-xp /app/lib/libservicefw.so.1.0.0                                   12      0      0
0       r--p /app/lib/libframework.so.0.0.1                                   12     12     12
0       rw-p /app/bin/hmi                                                      8      8      8
0       r--p /usr/lib/gstreamer-1.0/libgstogg.so                               8      8      8
0       r--p /lib/libswresample.so.3.5.100                                     8      8      8
0       r--p /lib/libswscale.so.5.5.100                                        8      8      8
0       r--p /usr/lib/gstreamer-1.0/libgstlibav.so                             8      8      8
0       rw-p /usr/lib/gstreamer-1.0/libgsttypefindfunctions.so                 8      8      8
0       r--p /usr/lib/gstreamer-1.0/libgstcoreelements.so                      8      8      8
0       r--p /usr/lib/gstreamer-1.0/libgstplayback.so                          8      8      8
0       rw-p /usr/lib/gstreamer-1.0/libgstsubparse.so                          8      8      8
0       rw-s /SYSV00000856                                                     8      0      0
0       r--p /usr/lib/libwayland-server.so.0.1.0                               8      8      8
0       r--p /usr/lib/libeglSubDriverWayland.so                                8      8      8
0       rw-s /SYSV0fe00112                                                     8      0      0
0       rw-s /SYSVa8800082                                                     8      0      0
0       r--p /usr/lib/liborc-0.4.so.0.25.0                                     8      8      8
0       r-xp /usr/lib/libion.so.0.0.0                                          8      0      0
0       r-xp /usr/lib/libsync.so.0.0.0                                         8      0      0
0       rw-p /usr/lib/libgstreamer-1.0.so.0.1603.0                             8      8      8
0       r--p /usr/lib/libgstbase-1.0.so.0.1603.0                               8      8      8
0       r--p /lib/libmount.so.1.1.0                                            8      8      8
0       r--p /usr/lib/libcutils.so.0.0.0                                       8      8      8
0       rw-p /usr/lib/libcrypto.so.1.1                                         8      8      8
0       r--p /usr/lib/libgsttag-1.0.so.0.1603.0                                8      8      8
0       r--p /app/lib/libcximage.so.7.0.0                                      8      8      8
0       r--p /usr/lib/libwayland-client.so.0.3.0                               8      8      8
0       r--p /app/lib/libreflectcpp.so.0.17.0                                  8      8      8
0       r--p /app/lib/libkeylocater.so.0.0.1                                   8      8      8
0       r--p /app/lib/liblogsystem.so.1.0.0                                    8      8      8
0       r--p /app/lib/libkeyhandler.so.0.0.1                                   8      8      8
0       r-xp /app/lib/libthumbnail.so.1.0.0                                    8      8      0
0       rw-p /app/lib/libsystem.so.1.0.0                                       8      8      8
0       r--p /app/lib/liblinux_hal.so.0.0.1                                    8      8      8
0       r--p /app/lib/libcamera.so.1.0.0                                       8      8      8
0       r--p /app/lib/libfile-explorer.so.1.0.0                                8      8      8
0       r--p /app/lib/libpersist.so.0.0.1                                      8      8      8
0       r-xp /usr/lib/libilmCommon.so.2.2.0                                    8      1      0
0       r-xp /usr/lib/libilmClient.so.2.2.0                                    8      1      0
0       rw-p /lib/ld-2.31.so                                                   8      8      8
0       rw-p /usr/lib/libvorbisenc.so.2.0.11                                   4      4      4
0       r--p /usr/lib/gconv/GBK.so                                             4      4      4
0       rw-p /usr/lib/gconv/GBK.so                                             4      4      4
0       r--p /usr/lib/gstreamer-1.0/libgstapetag.so                            4      4      4
0       rw-p /usr/lib/gstreamer-1.0/libgstapetag.so                            4      4      4
0       r--p /usr/lib/libgstriff-1.0.so.0.1603.0                               4      4      4
0       rw-p /usr/lib/libgstriff-1.0.so.0.1603.0                               4      4      4
0       r--p /usr/lib/gstreamer-1.0/libgstwavparse.so                          4      4      4
0       rw-p /usr/lib/gstreamer-1.0/libgstwavparse.so                          4      4      4
0       r--p /usr/lib/libvorbis.so.0.4.8                                       4      4      4
0       rw-p /usr/lib/libvorbis.so.0.4.8                                       4      4      4
0       rw-p /usr/lib/gstreamer-1.0/libgstogg.so                               4      4      4
0       r--p /usr/lib/gstreamer-1.0/libgstvorbis.so                            4      4      4
0       rw-p /usr/lib/gstreamer-1.0/libgstvorbis.so                            4      4      4
0       r--p /usr/lib/libogg.so.0.8.4                                          4      4      4
0       rw-p /usr/lib/libogg.so.0.8.4                                          4      4      4
0       r--p /usr/lib/libtheoradec.so.1.1.4                                    4      4      4
0       rw-p /usr/lib/libtheoradec.so.1.1.4                                    4      4      4
0       r--p /usr/lib/libtheoraenc.so.1.1.2                                    4      4      4
0       rw-p /usr/lib/libtheoraenc.so.1.1.2                                    4      4      4
0       r--p /usr/lib/libbz2.so.1.0.8                                          4      4      4
